2025-10-24 11:21:36.435 [Debug] [Hook] TM:PE priority sign query | nodeId=15152 segmentId=34969 signType=None
2025-10-24 11:21:36.435 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.436 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.436 [Debug] [Hook] TM:PE priority sign query | nodeId=15152 segmentId=6420 signType=None
2025-10-24 11:21:36.437 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.437 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.438 [Debug] [Hook] TM:PE priority sign query | nodeId=27342 segmentId=13255 signType=None
2025-10-24 11:21:36.438 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.439 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.439 [Debug] [Hook] TM:PE priority sign query | nodeId=27342 segmentId=34969 signType=None
2025-10-24 11:21:36.440 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.440 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.440 [Debug] [Hook] TM:PE priority sign query | nodeId=9022 segmentId=764 signType=None
2025-10-24 11:21:36.441 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.441 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.442 [Debug] [Hook] TM:PE priority sign query | nodeId=9022 segmentId=35072 signType=None
2025-10-24 11:21:36.442 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.442 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.444 [Debug] [Hook] TM:PE priority sign query | nodeId=29056 segmentId=35072 signType=None
2025-10-24 11:21:36.445 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.445 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.446 [Debug] [Hook] TM:PE priority sign query | nodeId=29056 segmentId=315 signType=None
2025-10-24 11:21:36.447 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.447 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.449 [Debug] [Hook] TM:PE priority sign query | nodeId=23682 segmentId=35079 signType=None
2025-10-24 11:21:36.450 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.451 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.451 [Debug] [Hook] TM:PE priority sign query | nodeId=23682 segmentId=6041 signType=None
2025-10-24 11:21:36.452 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.452 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.452 [Debug] [Hook] TM:PE priority sign query | nodeId=767 segmentId=26114 signType=None
2025-10-24 11:21:36.453 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.453 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.454 [Debug] [Hook] TM:PE priority sign query | nodeId=767 segmentId=35079 signType=None
2025-10-24 11:21:36.454 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.455 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.455 [Debug] [Hook] TM:PE priority sign query | nodeId=12093 segmentId=35100 signType=None
2025-10-24 11:21:36.455 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.456 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.456 [Debug] [Hook] TM:PE priority sign query | nodeId=12093 segmentId=34209 signType=None
2025-10-24 11:21:36.457 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.457 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.458 [Debug] [Hook] TM:PE priority sign query | nodeId=25821 segmentId=35100 signType=None
2025-10-24 11:21:36.459 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.460 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.461 [Debug] [Hook] TM:PE priority sign query | nodeId=25821 segmentId=29538 signType=None
2025-10-24 11:21:36.461 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.462 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.462 [Debug] [Hook] TM:PE priority sign query | nodeId=25821 segmentId=31566 signType=None
2025-10-24 11:21:36.463 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.463 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
