2025-10-23 20:33:10.254 [Debug] [Synchronization] Lane mapping broadcast | segment=24388 laneIndex=1 hostLane=8675 guid=LaneGuid(Segment=24388, Build=1746, Prefab=21, Lane=1, Seq=1) version=20 reason=priority_signs
2025-10-23 20:33:10.255 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.255 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.256 [Debug] [Synchronization] Lane mapping broadcast | segment=24388 laneIndex=2 hostLane=31580 guid=LaneGuid(Segment=24388, Build=1746, Prefab=21, Lane=2, Seq=1) version=21 reason=priority_signs
2025-10-23 20:33:10.256 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.256 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.257 [Debug] [Synchronization] Lane mapping broadcast | segment=24388 laneIndex=3 hostLane=29567 guid=LaneGuid(Segment=24388, Build=1746, Prefab=21, Lane=3, Seq=1) version=22 reason=priority_signs
2025-10-23 20:33:10.257 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.257 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.258 [Debug] [Synchronization] Lane mapping broadcast | segment=24388 laneIndex=4 hostLane=16140 guid=LaneGuid(Segment=24388, Build=1746, Prefab=21, Lane=4, Seq=1) version=23 reason=priority_signs
2025-10-23 20:33:10.258 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.258 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.259 [Debug] [Synchronization] Lane mapping broadcast | segment=24388 laneIndex=5 hostLane=192285 guid=LaneGuid(Segment=24388, Build=1746, Prefab=21, Lane=5, Seq=1) version=24 reason=priority_signs
2025-10-23 20:33:10.259 [Debug] [Hook] TM:PE priority sign query | nodeId=9845 segmentId=24388 signType=None
2025-10-23 20:33:10.259 [Debug] [Network] Dispatch command | direction=all type=PrioritySignApplied
2025-10-23 20:33:10.260 [Debug] [Network] Dispatch complete | direction=all type=PrioritySignApplied
2025-10-23 20:33:10.260 [Debug] [Hook] TM:PE priority sign query | nodeId=9845 segmentId=27634 signType=None
2025-10-23 20:33:10.261 [Debug] [Network] Dispatch command | direction=all type=PrioritySignApplied
2025-10-23 20:33:10.261 [Debug] [Network] Dispatch complete | direction=all type=PrioritySignApplied
2025-10-23 20:33:10.261 [Debug] [Hook] TM:PE junction restriction query | nodeId=30720 state=UTurns=True, LaneChange=False, Blocked=True, Pedestrians=True, NearTurnOnRed=False, FarTurnOnRed=False
2025-10-23 20:33:10.261 [Debug] [Network] Dispatch command | direction=all type=JunctionRestrictionsApplied
2025-10-23 20:33:10.262 [Debug] [Network] Dispatch complete | direction=all type=JunctionRestrictionsApplied
2025-10-23 20:33:10.262 [Debug] [Hook] TM:PE junction restriction query | nodeId=9845 state=UTurns=True, LaneChange=False, Blocked=True, Pedestrians=True, NearTurnOnRed=False, FarTurnOnRed=False
2025-10-23 20:33:10.262 [Debug] [Network] Dispatch command | direction=all type=JunctionRestrictionsApplied
2025-10-23 20:33:10.263 [Debug] [Network] Dispatch complete | direction=all type=JunctionRestrictionsApplied
2025-10-23 20:33:10.263 [Debug] [Hook] TM:PE priority sign query | nodeId=26916 segmentId=15223 signType=None
2025-10-23 20:33:10.263 [Debug] [Network] Dispatch command | direction=all type=PrioritySignApplied
2025-10-23 20:33:10.264 [Debug] [Network] Dispatch complete | direction=all type=PrioritySignApplied
2025-10-23 20:33:10.264 [Debug] [Hook] TM:PE priority sign query | nodeId=26916 segmentId=32702 signType=None
2025-10-23 20:33:10.265 [Debug] [Network] Dispatch command | direction=all type=PrioritySignApplied
2025-10-23 20:33:10.265 [Debug] [Network] Dispatch complete | direction=all type=PrioritySignApplied
2025-10-23 20:33:10.265 [Debug] [Hook] TM:PE priority sign query | nodeId=5430 segmentId=32702 signType=None
2025-10-23 20:33:10.266 [Debug] [Network] Dispatch command | direction=all type=PrioritySignApplied
2025-10-23 20:33:10.266 [Debug] [Network] Dispatch complete | direction=all type=PrioritySignApplied
2025-10-23 20:33:10.266 [Debug] [Hook] TM:PE junction restriction query | nodeId=26916 state=UTurns=False, LaneChange=False, Blocked=True, Pedestrians=True, NearTurnOnRed=False, FarTurnOnRed=False
2025-10-23 20:33:10.267 [Debug] [Network] Dispatch command | direction=all type=JunctionRestrictionsApplied
2025-10-23 20:33:10.267 [Debug] [Network] Dispatch complete | direction=all type=JunctionRestrictionsApplied
2025-10-23 20:33:10.267 [Debug] [Hook] TM:PE junction restriction query | nodeId=5430 state=UTurns=True, LaneChange=False, Blocked=True, Pedestrians=True, NearTurnOnRed=False, FarTurnOnRed=False
2025-10-23 20:33:10.268 [Debug] [Network] Dispatch command | direction=all type=JunctionRestrictionsApplied
2025-10-23 20:33:10.268 [Debug] [Network] Dispatch complete | direction=all type=JunctionRestrictionsApplied
2025-10-23 20:33:11.168 [Info] [General] Received PrioritySignApplied node=26916 segment=15223 sign=None
2025-10-23 20:33:11.169 [Debug] [Hook] TM:PE priority sign request | nodeId=26916 segmentId=15223 signType=None
2025-10-23 20:33:11.169 [Info] [General] Applied remote priority sign node=26916 segment=15223 -> None
2025-10-23 20:33:11.170 [Info] [General] Received PrioritySignApplied node=26916 segment=32702 sign=None
2025-10-23 20:33:11.170 [Debug] [Hook] TM:PE priority sign request | nodeId=26916 segmentId=32702 signType=None
2025-10-23 20:33:11.170 [Info] [General] Applied remote priority sign node=26916 segment=32702 -> None
2025-10-23 20:33:11.171 [Info] [General] Received JunctionRestrictionsApplied node=30720 state=UTurns=True, LaneChange=True, Blocked=True, Pedestrians=True, NearTurnOnRed=True, FarTurnOnRed=True
2025-10-23 20:33:11.171 [Debug] [Hook] TM:PE junction restriction request | nodeId=30720 state=UTurns=True, LaneChange=True, Blocked=True, Pedestrians=True, NearTurnOnRed=True, FarTurnOnRed=True
2025-10-23 20:33:11.173 [Warn] [Bridge] TM:PE junction restriction rejected | segmentId=27634 startNode=True flag=AllowUTurns value=True
2025-10-23 20:33:11.174 [Warn] [Bridge] TM:PE junction restriction rejected | segmentId=27634 startNode=True flag=AllowNearTurnOnRed value=True
2025-10-23 20:33:11.174 [Warn] [Bridge] TM:PE junction restriction rejected | segmentId=27634 startNode=True flag=AllowFarTurnOnRed value=True
2025-10-23 20:33:11.175 [Warn] [Bridge] TM:PE junction restriction rejected | segmentId=27634 startNode=True flag=AllowLaneChangesWhenGoingStraight value=True
2025-10-23 20:33:11.175 [Warn] [Bridge] TM:PE junction restriction rejected | segmentId=15223 startNode=True flag=AllowNearTurnOnRed value=True
2025-10-23 20:33:11.176 [Warn] [Bridge] TM:PE junction restriction rejected | segmentId=15223 startNode=True flag=AllowFarTurnOnRed value=True
2025-10-23 20:33:11.176 [Warn] [Bridge] TM:PE junction restriction rejected | segmentId=15223 startNode=True flag=AllowLaneChangesWhenGoingStraight value=True
2025-10-23 20:33:11.177 [Warn] [Bridge] TM:PE junction restriction apply via API failed | nodeId=30720 action=fallback_to_stub
2025-10-23 20:33:11.177 [Info] [General] Applied remote junction restrictions node=30720
2025-10-23 20:33:11.178 [Info] [General] Received JunctionRestrictionsApplied node=26916 state=UTurns=True, LaneChange=True, Blocked=True, Pedestrians=True, NearTurnOnRed=True, FarTurnOnRed=True
2025-10-23 20:33:11.178 [Debug] [Hook] TM:PE junction restriction request | nodeId=26916 state=UTurns=True, LaneChange=True, Blocked=True, Pedestrians=True, NearTurnOnRed=True, FarTurnOnRed=True
2025-10-23 20:33:11.179 [Warn] [Bridge] TM:PE junction restriction apply aborted | nodeId=26916 detail=tmpe_may_have_junction_restrictions=false
2025-10-23 20:33:11.179 [Warn] [Bridge] TM:PE junction restriction apply via API failed | nodeId=26916 action=fallback_to_stub
2025-10-23 20:33:11.179 [Info] [General] Applied remote junction restrictions node=26916
2025-10-23 20:33:11.180 [Info] [General] Received PrioritySignApplied node=9845 segment=24388 sign=None
2025-10-23 20:33:11.180 [Debug] [Hook] TM:PE priority sign request | nodeId=9845 segmentId=24388 signType=None
2025-10-23 20:33:11.181 [Info] [General] Applied remote priority sign node=9845 segment=24388 -> None
2025-10-23 20:33:11.181 [Info] [General] Received PrioritySignApplied node=9845 segment=27634 sign=None
2025-10-23 20:33:11.181 [Debug] [Hook] TM:PE priority sign request | nodeId=9845 segmentId=27634 signType=None
2025-10-23 20:33:11.181 [Info] [General] Applied remote priority sign node=9845 segment=27634 -> None
2025-10-23 20:33:11.182 [Info] [General] Received JunctionRestrictionsApplied node=30720 state=UTurns=True, LaneChange=True, Blocked=True, Pedestrians=True, NearTurnOnRed=True, FarTurnOnRed=True
2025-10-23 20:33:11.182 [Debug] [Hook] TM:PE junction restriction request | nodeId=30720 state=UTurns=True, LaneChange=True, Blocked=True, Pedestrians=True, NearTurnOnRed=True, FarTurnOnRed=True
2025-10-23 20:33:11.183 [Warn] [Bridge] TM:PE junction restriction rejected | segmentId=27634 startNode=True flag=AllowUTurns value=True
2025-10-23 20:33:11.183 [Warn] [Bridge] TM:PE junction restriction rejected | segmentId=27634 startNode=True flag=AllowNearTurnOnRed value=True
2025-10-23 20:33:11.184 [Warn] [Bridge] TM:PE junction restriction rejected | segmentId=27634 startNode=True flag=AllowFarTurnOnRed value=True
2025-10-23 20:33:11.184 [Warn] [Bridge] TM:PE junction restriction rejected | segmentId=27634 startNode=True flag=AllowLaneChangesWhenGoingStraight value=True
2025-10-23 20:33:11.185 [Warn] [Bridge] TM:PE junction restriction rejected | segmentId=15223 startNode=True flag=AllowNearTurnOnRed value=True
2025-10-23 20:33:11.185 [Warn] [Bridge] TM:PE junction restriction rejected | segmentId=15223 startNode=True flag=AllowFarTurnOnRed value=True
2025-10-23 20:33:11.186 [Warn] [Bridge] TM:PE junction restriction rejected | segmentId=15223 startNode=True flag=AllowLaneChangesWhenGoingStraight value=True
2025-10-23 20:33:11.186 [Warn] [Bridge] TM:PE junction restriction apply via API failed | nodeId=30720 action=fallback_to_stub
2025-10-23 20:33:11.186 [Info] [General] Applied remote junction restrictions node=30720
2025-10-23 20:33:11.187 [Info] [General] Received JunctionRestrictionsApplied node=9845 state=UTurns=True, LaneChange=True, Blocked=True, Pedestrians=True, NearTurnOnRed=True, FarTurnOnRed=True
2025-10-23 20:33:11.187 [Debug] [Hook] TM:PE junction restriction request | nodeId=9845 state=UTurns=True, LaneChange=True, Blocked=True, Pedestrians=True, NearTurnOnRed=True, FarTurnOnRed=True
2025-10-23 20:33:11.188 [Warn] [Bridge] TM:PE junction restriction apply aborted | nodeId=9845 detail=tmpe_may_have_junction_restrictions=false
2025-10-23 20:33:11.188 [Warn] [Bridge] TM:PE junction restriction apply via API failed | nodeId=9845 action=fallback_to_stub
2025-10-23 20:33:11.189 [Info] [General] Applied remote junction restrictions node=9845
2025-10-23 20:33:11.189 [Info] [General] Received PrioritySignApplied node=26916 segment=15223 sign=None
2025-10-23 20:33:11.189 [Debug] [Hook] TM:PE priority sign request | nodeId=26916 segmentId=15223 signType=None
2025-10-23 20:33:11.190 [Info] [General] Applied remote priority sign node=26916 segment=15223 -> None
2025-10-23 20:33:11.190 [Info] [General] Received PrioritySignApplied node=26916 segment=32702 sign=None
2025-10-23 20:33:11.190 [Debug] [Hook] TM:PE priority sign request | nodeId=26916 segmentId=32702 signType=None
2025-10-23 20:33:11.191 [Info] [General] Applied remote priority sign node=26916 segment=32702 -> None
2025-10-23 20:33:11.191 [Info] [General] Received PrioritySignApplied node=5430 segment=32702 sign=None
2025-10-23 20:33:11.191 [Debug] [Hook] TM:PE priority sign request | nodeId=5430 segmentId=32702 signType=None
2025-10-23 20:33:11.192 [Info] [General] Applied remote priority sign node=5430 segment=32702 -> None
2025-10-23 20:33:11.193 [Info] [General] Received JunctionRestrictionsApplied node=26916 state=UTurns=True, LaneChange=True, Blocked=True, Pedestrians=True, NearTurnOnRed=True, FarTurnOnRed=True
2025-10-23 20:33:11.193 [Debug] [Hook] TM:PE junction restriction request | nodeId=26916 state=UTurns=True, LaneChange=True, Blocked=True, Pedestrians=True, NearTurnOnRed=True, FarTurnOnRed=True
2025-10-23 20:33:11.193 [Warn] [Bridge] TM:PE junction restriction apply aborted | nodeId=26916 detail=tmpe_may_have_junction_restrictions=false
2025-10-23 20:33:11.194 [Warn] [Bridge] TM:PE junction restriction apply via API failed | nodeId=26916 action=fallback_to_stub
2025-10-23 20:33:11.194 [Info] [General] Applied remote junction restrictions node=26916
2025-10-23 20:33:11.194 [Info] [General] Received JunctionRestrictionsApplied node=5430 state=UTurns=True, LaneChange=True, Blocked=True, Pedestrians=True, NearTurnOnRed=True, FarTurnOnRed=True
2025-10-23 20:33:11.195 [Debug] [Hook] TM:PE junction restriction request | nodeId=5430 state=UTurns=True, LaneChange=True, Blocked=True, Pedestrians=True, NearTurnOnRed=True, FarTurnOnRed=True
2025-10-23 20:33:11.195 [Warn] [Bridge] TM:PE junction restriction apply aborted | nodeId=5430 detail=tmpe_may_have_junction_restrictions=false
2025-10-23 20:33:11.196 [Warn] [Bridge] TM:PE junction restriction apply via API failed | nodeId=5430 action=fallback_to_stub
2025-10-23 20:33:11.196 [Info] [General] Applied remote junction restrictions node=5430
2025-10-23 20:33:16.644 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:16.645 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:16.645 [Debug] [Synchronization] Lane mapping broadcast | segment=31266 laneIndex=0 hostLane=239640 guid=LaneGuid(Segment=31266, Build=4626, Prefab=89, Lane=0, Seq=1) version=25 reason=priority_signs
2025-10-23 20:33:16.646 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:16.646 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:16.646 [Debug] [Synchronization] Lane mapping broadcast | segment=31266 laneIndex=1 hostLane=246900 guid=LaneGuid(Segment=31266, Build=4626, Prefab=89, Lane=1, Seq=1) version=26 reason=priority_signs
2025-10-23 20:33:16.647 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:16.647 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:16.648 [Debug] [Synchronization] Lane mapping broadcast | segment=31266 laneIndex=2 hostLane=185056 guid=LaneGuid(Segment=31266, Build=4626, Prefab=89, Lane=2, Seq=1) version=27 reason=priority_signs
2025-10-23 20:33:16.648 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:16.649 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:16.649 [Debug] [Synchronization] Lane mapping broadcast | segment=31266 laneIndex=3 hostLane=105272 guid=LaneGuid(Segment=31266, Build=4626, Prefab=89, Lane=3, Seq=1) version=28 reason=priority_signs
2025-10-23 20:33:16.649 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:16.650 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:16.650 [Debug] [Synchronization] Lane mapping broadcast | segment=28329 laneIndex=0 hostLane=100348 guid=LaneGuid(Segment=28329, Build=4629, Prefab=89, Lane=0, Seq=1) version=29 reason=priority_signs
2025-10-23 20:33:16.650 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
