2025-10-24 11:52:22.808 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.809 [Debug] [Hook] TM:PE priority sign query | nodeId=26048 segmentId=21108 signType=None
2025-10-24 11:52:22.810 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.813 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.814 [Debug] [Hook] TM:PE priority sign query | nodeId=26048 segmentId=15705 signType=None
2025-10-24 11:52:22.814 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.815 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.816 [Debug] [Hook] TM:PE priority sign query | nodeId=2735 segmentId=17084 signType=None
2025-10-24 11:52:22.818 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.821 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.821 [Debug] [Hook] TM:PE priority sign query | nodeId=2735 segmentId=15728 signType=None
2025-10-24 11:52:22.822 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.823 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.826 [Debug] [Hook] TM:PE priority sign query | nodeId=5482 segmentId=15728 signType=None
2025-10-24 11:52:22.827 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.829 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.829 [Debug] [Hook] TM:PE priority sign query | nodeId=5482 segmentId=14163 signType=None
2025-10-24 11:52:22.832 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.834 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.835 [Debug] [Hook] TM:PE priority sign query | nodeId=17646 segmentId=2042 signType=None
2025-10-24 11:52:22.836 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.837 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.838 [Debug] [Hook] TM:PE priority sign query | nodeId=17646 segmentId=15786 signType=None
2025-10-24 11:52:22.840 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.841 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.843 [Debug] [Hook] TM:PE priority sign query | nodeId=31317 segmentId=15786 signType=None
2025-10-24 11:52:22.844 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.845 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.846 [Debug] [Hook] TM:PE priority sign query | nodeId=31317 segmentId=33494 signType=None
2025-10-24 11:52:22.846 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.847 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.848 [Debug] [Hook] TM:PE priority sign query | nodeId=1384 segmentId=24536 signType=None
2025-10-24 11:52:22.849 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.850 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.850 [Debug] [Hook] TM:PE priority sign query | nodeId=1384 segmentId=15813 signType=None
2025-10-24 11:52:22.851 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.852 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.853 [Debug] [Hook] TM:PE priority sign query | nodeId=18754 segmentId=15813 signType=None
2025-10-24 11:52:22.854 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.855 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.856 [Debug] [Hook] TM:PE priority sign query | nodeId=18754 segmentId=24031 signType=None
2025-10-24 11:52:22.857 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.858 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.860 [Debug] [Hook] TM:PE priority sign query | nodeId=8218 segmentId=18584 signType=None
2025-10-24 11:52:22.862 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.864 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.865 [Debug] [Hook] TM:PE priority sign query | nodeId=8218 segmentId=15856 signType=None
2025-10-24 11:52:22.867 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.868 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.869 [Debug] [Hook] TM:PE priority sign query | nodeId=7179 segmentId=15856 signType=None
2025-10-24 11:52:22.869 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.871 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.871 [Debug] [Hook] TM:PE priority sign query | nodeId=7179 segmentId=32934 signType=None
2025-10-24 11:52:22.873 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.874 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.875 [Debug] [Hook] TM:PE priority sign query | nodeId=9808 segmentId=25511 signType=None
2025-10-24 11:52:22.876 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.878 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.880 [Debug] [Hook] TM:PE priority sign query | nodeId=9808 segmentId=15888 signType=None
2025-10-24 11:52:22.882 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.883 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.884 [Debug] [Hook] TM:PE priority sign query | nodeId=15064 segmentId=15888 signType=None
2025-10-24 11:52:22.885 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.887 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.888 [Debug] [Hook] TM:PE priority sign query | nodeId=15064 segmentId=16887 signType=None
2025-10-24 11:52:22.890 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.890 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.891 [Debug] [Hook] TM:PE priority sign query | nodeId=28457 segmentId=15906 signType=None
2025-10-24 11:52:22.892 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.893 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.894 [Debug] [Hook] TM:PE priority sign query | nodeId=28457 segmentId=20163 signType=None
2025-10-24 11:52:22.895 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.896 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.897 [Debug] [Hook] TM:PE priority sign query | nodeId=28057 segmentId=16298 signType=None
2025-10-24 11:52:22.898 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.899 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.901 [Debug] [Hook] TM:PE priority sign query | nodeId=28057 segmentId=15906 signType=None
2025-10-24 11:52:22.902 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.903 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.903 [Debug] [Hook] TM:PE priority sign query | nodeId=31355 segmentId=15914 signType=None
2025-10-24 11:52:22.904 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.906 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.907 [Debug] [Hook] TM:PE priority sign query | nodeId=31355 segmentId=13958 signType=None
2025-10-24 11:52:22.908 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.909 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.910 [Debug] [Hook] TM:PE priority sign query | nodeId=19135 segmentId=7317 signType=None
2025-10-24 11:52:22.911 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.912 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.913 [Debug] [Hook] TM:PE priority sign query | nodeId=19135 segmentId=15914 signType=None
2025-10-24 11:52:22.914 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.916 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.917 [Debug] [Hook] TM:PE priority sign query | nodeId=12323 segmentId=27144 signType=None
2025-10-24 11:52:22.918 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.919 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.920 [Debug] [Hook] TM:PE priority sign query | nodeId=12323 segmentId=15944 signType=None
2025-10-24 11:52:22.921 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.922 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.922 [Debug] [Hook] TM:PE priority sign query | nodeId=22571 segmentId=15944 signType=None
2025-10-24 11:52:22.923 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.925 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.925 [Debug] [Hook] TM:PE priority sign query | nodeId=22571 segmentId=26168 signType=None
2025-10-24 11:52:22.927 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.928 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.929 [Debug] [Hook] TM:PE priority sign query | nodeId=24665 segmentId=20458 signType=None
